title,subtitle,url
Baytril Vet.,"injektionsvæske, opløsning (50 mg/ml)",https://medicintildyr.dk/product/28101347988-baytril-vet-injektionsvaeske-oplosning-50-mg-ml
Baytril Vet.,"injektionsvæske, opløsning (100 mg/ml)",https://medicintildyr.dk/product/28101348088-baytril-vet-injektionsvaeske-oplosning-100-mg-ml
Clamoxyl Prolongatum Vet.,"injektionsvæske, suspension (150 mg/ml)",https://medicintildyr.dk/product/28101228085-clamoxyl-prolongatum-vet-injektionsvaeske-suspension-150-mg-ml
Clamoxyl Vet.,"injektionsvæske, suspension (150 mg/ml)",https://medicintildyr.dk/product/28101505392-clamoxyl-vet-injektionsvaeske-suspension-150-mg-ml
Dexaject,"injektionsvæske, opløsning (2 mg/ml)",https://medicintildyr.dk/product/28104940811-dexaject-injektionsvaeske-oplosning-2-mg-ml
Ethacilin Vet.,"injektionsvæske, suspension (300.000 IE/ml)",https://medicintildyr.dk/product/28100918877-ethacilin-vet-injektionsvaeske-suspension-300-000-ie-ml
Ketador Vet.,"injektionsvæske, opløsning (100 mg/ml)",https://medicintildyr.dk/product/28104999411-ketador-vet-injektionsvaeske-oplosning-100-mg-ml
Meloxidolor,"injektionsvæske, opløsning (5 mg/ml)",https://medicintildyr.dk/product/28105016111-meloxidolor-injektionsvaeske-oplosning-5-mg-ml
Meloxidolor,"injektionsvæske, opløsning (20 mg/ml)",https://medicintildyr.dk/product/28105016211-meloxidolor-injektionsvaeske-oplosning-20-mg-ml
"Oxytocin ""Intervet"" Vet.","injektionsvæske, opløsning (10 IE/ml)",https://medicintildyr.dk/product/28101201784-oxytocin-intervet-vet-injektionsvaeske-oplosning-10-ie-ml
Penovet Vet.,"injektionsvæske, suspension (300.000 IE/ml)",https://medicintildyr.dk/product/28101037779-penovet-vet-injektionsvaeske-suspension-300-000-ie-ml
Procamidor Vet.,"injektionsvæske, opløsning (20 mg/ml)",https://medicintildyr.dk/product/28105292413-procamidor-vet-injektionsvaeske-oplosning-20-mg-ml
Rapidexon,"injektionsvæske, opløsning (2 mg/ml)",https://medicintildyr.dk/product/28104241607-rapidexon-injektionsvaeske-oplosning-2-mg-ml
Rivalgin Vet.,"injektionsvæske, opløsning (500 mg/ml)",https://medicintildyr.dk/product/28106167118-rivalgin-vet-injektionsvaeske-oplosning-500-mg-ml
Spasmium Vet.,"injektionsvæske, opløsning (500 mg/ml+4 mg/ml)",https://medicintildyr.dk/product/28105452714-spasmium-vet-injektionsvaeske-oplosning-500-mg-ml-4-mg-ml
Sympagesic,"injektionsvæske, opløsning (500+4 mg/ml)",https://medicintildyr.dk/product/28106129518-sympagesic-injektionsvaeske-oplosning-500-4-mg-ml
Terramycin Vet.,pulver til oral opløsning (20%),https://medicintildyr.dk/product/28100639173-terramycin-vet-pulver-til-oral-oplosning-20percent
Betamox Vet.,"injektionsvæske, suspension (150 mg/ml)",https://medicintildyr.dk/product/28101322988-betamox-vet-injektionsvaeske-suspension-150-mg-ml
Euthanimal,"injektionsvæske, opløsning (400 mg/ml)",https://medicintildyr.dk/product/28105220613-euthanimal-injektionsvaeske-oplosning-400-mg-ml
Hemosilate Vet.,"injektionsvæske, opløsning (125 mg/ml)",https://medicintildyr.dk/product/28106225319-hemosilate-vet-injektionsvaeske-oplosning-125-mg-ml
Noromylin Vet.,"injektionsvæske, opløsning (100 mg/ml)",https://medicintildyr.dk/product/28101550393-noromylin-vet-injektionsvaeske-oplosning-100-mg-ml
Oxtra DD,"injektionsvæske, opløsning (100 mg/ml)",https://medicintildyr.dk/product/28106278619-oxtra-dd-injektionsvaeske-oplosning-100-mg-ml
Oxytobel,"injektionsvæske, opløsning (10 IE/ml)",https://medicintildyr.dk/product/28105183312-oxytobel-injektionsvaeske-oplosning-10-ie-ml
